FLY524_P2_ul,FLY524_P1_ul,FLY524_P2_dl,FLY524_P1_dl,FLY526_P2_ul,FLY526_P1_ul,FLY526_P2_dl,FLY526_P1_dl
40.50006104,36.85400391,43.4095459,29.03735352,38.97796631,7.269165039,22.69793701,7.442626953
37.99066162,36.765625,40.34729004,31.63671875,40.06811523,7.247070313,22.05651855,12.04150391
42.96832275,37.22961426,40.38867188,29.63720703,39.57446289,7.556396484,24.76702881,13.72998047
44.73724365,37.20751953,47.4442749,30.79248047,39.16308594,7.998291016,20.42193604,16.04052734
42.37182617,36.3458252,46.07867432,29.859375,39.71844482,8.152954102,14.69055176,16.44042969
40.7880249,37.14123535,46.16143799,30.37036133,40.80859375,8.594848633,30.35357666,9.953125
45.230896,41.53808594,39.83001709,31.12573242,42.20727539,9.036743164,33.82965088,13.26342773
40.25323486,37.4284668,45.95452881,30.90356445,39.57446289,8.859985352,36.00219727,13.92993164
43.70880127,38.86462402,39.35412598,29.8371582,38.40203857,8.440185547,34.53314209,16.92919922
39.43048096,36.94238281,39.10583496,30.17041016,35.27557373,6.893554688,25.26361084,13.35229492
38.75170898,39.24023438,48.37536621,30.41479492,36.34515381,9.434448242,25.61535645,12.97460938
41.34338379,36.41210938,47.15460205,30.25927734,37.82611084,3.932861328,23.40142822,13.77441406
41.2199707,37.56103516,44.73376465,30.19262695,40.7880249,6.562133789,24.89117432,18.55102539
40.12982178,36.69934082,41.50598145,30.28149414,31.22351074,6.760986328,20.98059082,17.70678711
41.50793457,37.80407715,42.87158203,31.21459961,22.04980469,5.678344727,24.18768311,19.2175293
41.77532959,35.83764648,42.74743652,30.25927734,22.37890625,8.705322266,18.18731689,17.24023438
42.1661377,38.31225586,43.71990967,31.9921875,22.48175049,7.865722656,21.33233643,16.3293457
40.54119873,37.80407715,43.86474609,31.41455078,22.21435547,5.965576172,18.04248047,16.44042969
40.08868408,36.03649902,42.23016357,31.85888672,21.26818848,5.72253418,16.18029785,14.26318359
41.30224609,41.31713867,42.85089111,30.50366211,21.74127197,8.197143555,13.84222412,9.997558594
41.01428223,36.89819336,42.87158203,31.65893555,22.29663086,9.12512207,12.68353271,10.08642578
42.61865234,39.96936035,40.67834473,30.90356445,22.19378662,9.478637695,9.538513184,9.619873047
39.08081055,37.29589844,44.5682373,30.65917969,22.25549316,9.368164063,25.63604736,10.88623047
40.02697754,43.06262207,41.7956543,29.74829102,22.27606201,9.368164063,21.24957275,15.19628906
40.41778564,36.74353027,43.94750977,30.19262695,21.5355835,8.683227539,16.44927979,18.10668945
41.63134766,39.70422363,43.11987305,29.92602539,22.81085205,7.887817383,16.01477051,18.66210938
38.71057129,34.88757324,39.80932617,30.63696289,22.25549316,8.042480469,22.73931885,17.55126953
38.75170898,36.89819336,40.26452637,30.52587891,22.07037354,8.41809082,23.71179199,18.77319336
38.95739746,40.12402344,37.28503418,29.79272461,13.02008057,7.799438477,23.6083374,14.46313477
42.00158691,37.16333008,41.77496338,30.65917969,11.95050049,8.837890625,23.64971924,19.35083008
40.15039063,37.64941406,43.03710938,30.01489258,12.09448242,8.263427734,22.28411865,13.72998047
40.58233643,36.19116211,41.7956543,33.14746094,14.37762451,7.887817383,23.96008301,11.57495117
42.00158691,35.94812012,41.21630859,31.65893555,17.46295166,6.893554688,22.03582764,14.26318359
40.54119873,36.30163574,41.09216309,30.03710938,17.54522705,7.534301758,23.11175537,18.37329102
41.17883301,39.06347656,35.52630615,37.41308594,16.88702393,8.108764648,24.37390137,14.86303711
41.81646729,37.91455078,34.80212402,33.83618164,25.54650879,7.600585938,22.11859131,15.19628906
38.85455322,38.06921387,31.98815918,35.30249023,30.21563721,8.241333008,25.61535645,18.23999023
